Job Title,Company Name,Job Description,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link
"Motion Designer, Designer 3D et Graphiste - Annecy",WORLD WILD WEB,,Bac,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Freelance & Temps partiel,International,ILLUSTRATOR - Marketing - Marketing Digital - PHOTOSHOP,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/motion-designer-designer-3d-graphiste-annecy-212115
Infographiste / Designer 3d - Monplaisir,NSCOM,,"Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé & Débutant < 2 ans",Stage,Tunis,Communication - Design - Marketing,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/infographiste-designer-3d-monplaisir-212116
Technicien en Administration Réseaux - Hammamet,YOUR TEAM IN TUNISIA,,"Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI & CDD,Nabeul,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-administration-reseaux-hammamet-212122
Ingénieur maintenance (H) - La Sokra,GRAPHIKA,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDD,Ariana,Machines - Maintenance - Maintenance Préventive - Production - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-maintenance-h-sokra-212226
Préparatrice en Pharmacie  - Megrine ,PHARMACIE LAATIG RADHIA,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDD & Stage,Ben Arous,Achats - Hygiène - Santé - Vaccination - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/preparatrice-pharmacie-megrine-212623
Développeur  WEB / Wordpress (H/F) - Sfax,GEDPLUS,,Bac+3,"Etudiant, jeune diplômé & Débutant < 2 ans",CDI & CDD,Sfax,WORDPRESS,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-web-wordpress-hf-sfax-212698
Comptable - Midoun Djerba,BATIPRO,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDD,Médenine,Comptabilité - Finance - Gestion - Gestion des Factures - Rapports Financiers - Suivi de la Trésorerie - Trésorerie,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-midoun-djerba-212847
Délégués Commerciaux - Tunis,SOTUPRESSE,,Bac+3 & Bac+4,"Etudiant, jeune diplômé & Débutant < 2 ans",CDD,Tunis,Gestion des Réclamations,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/delegues-commerciaux-tunis-213221
Responsable de Maintenance Poids Lourds H/F - Antananarivo,AVÉLIANCE CONSEIL,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,International,Exploitation - Maintenance - Maintenance Mécanique - Maintenance Préventive - Production - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-maintenance-poids-lourds-hf-antananarivo-213309
Electronics/Electrical Engineer For Mobile Robotics - Sousse,ENOVA ROBOTICS,,Bac+5 et plus,Expérience entre 2 ans et 5 ans,CDI,Sousse,ARDUINO - ETHERNET - IOT - MATLAB - PCB - SIMULINK - SOLIDWORKS,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/electronicselectrical-engineer-for-mobile-robotics-sousse-213368
